X,Y,Type
534.2205387205386,418.45759179092516,forest
562.952300785634,412.300785634119,forest
595.7886002886003,408.1962481962482,forest
616.311287477954,406.1439794773128,forest
616.311287477954,420.5098605098605,forest
647.0953182619849,412.300785634119,forest
653.252124418791,406.1439794773128,forest
679.9316177649509,402.039442039442,forest
710.7156485489818,402.039442039442,forest
710.7156485489818,412.300785634119,forest
737.3951418951417,412.300785634119,forest
764.0746352413018,410.24851691518364,forest
762.0223665223664,383.5690235690236,forest
778.4405162738494,383.5690235690236,forest
792.8063973063972,420.5098605098605,forest
794.8586660253327,461.55523488856824,forest
792.8063973063972,484.13019079685745,forest
784.5973224306556,496.4438031104698,forest
788.7018598685265,527.2278338945005,forest
796.9109347442679,543.6459836459837,forest
784.5973224306556,605.2140452140452,forest
784.5973224306556,635.998075998076,forest
794.8586660253327,677.0434503767838,forest
801.0154721821389,695.5138688472023,forest
815.3813532146864,703.7229437229437,forest
844.1131152797818,703.7229437229437,forest
856.4267275933942,748.8728555395221,forest
866.688071188071,783.7614237614237,forest
874.8971460638127,833.015873015873,forest
864.6358024691358,876.113516113516,forest
858.4789963123296,902.7930094596761,forest
850.269921436588,919.2111592111592,forest
844.1131152797818,962.3088023088023,forest
842.0608465608466,986.9360269360268,forest
858.4789963123296,1040.2950136283469,forest
862.5835337502003,1079.288119288119,forest
854.3744588744587,1097.7585377585376,forest
825.6426968093633,1103.9153439153438,forest
798.9632034632034,1108.0198813532147,forest
762.0223665223664,1110.07215007215,forest
735.3428731762065,1118.2812249478916,forest
731.2383357383358,1108.0198813532147,forest
745.6042167708833,1101.8630751964085,forest
741.4996793330126,1085.4449254449253,forest
735.3428731762065,1052.6086259419592,forest
727.1337983004648,1021.8245951579283,forest
708.6633798300463,970.5178771845437,forest
741.4996793330126,978.7269520602854,forest
780.4927849927849,993.092833092833,forest
796.9109347442679,995.1451018117684,forest
790.7541285874618,972.5701459034792,forest
792.8063973063972,954.0997274330607,forest
788.7018598685265,927.4202340869008,forest
801.0154721821389,921.2634279300946,forest
815.3813532146864,913.054353054353,forest
803.0677409010741,896.63620330287,forest
784.5973224306556,898.6884720218052,forest
774.3359788359787,867.9044412377746,forest
813.329084495751,855.5908289241622,forest
833.851771685105,855.5908289241622,forest
817.4336219336219,798.1273047939715,forest
805.1200096200096,752.977392977393,forest
780.4927849927849,703.7229437229437,forest
766.1269039602373,683.2002565335899,forest
739.4474106140772,650.3639570306236,forest
702.5065736732402,613.4231200897868,forest
690.192961359628,625.7367324033992,forest
675.8270803270802,642.1548821548822,forest
663.5134680134679,656.5207631874298,forest
653.252124418791,672.9389129389128,forest
632.729437229437,658.5730319063653,forest
620.4158249158249,638.0503447170113,forest
606.0499438832771,609.3185826519159,forest
587.5795254128586,590.8481641814976,forest
573.213644380311,584.6913580246915,forest
562.952300785634,555.9595959595961,forest
550.6386884720218,537.4891774891776,forest
530.1160012826679,523.1232964566298,forest
544.4818823152157,500.5483405483406,forest
546.5341510341509,473.8688472021806,forest
540.3773448773447,447.18935385602055,forest
