X,Y,Type
618.3635561968895,576.4822831489498,instilake
636.833974667308,568.2732082732082,instilake
657.3566618566617,560.0641333974668,instilake
675.8270803270802,555.9595959595961,instilake
686.0884239217571,568.2732082732082,instilake
694.2974987974987,553.9073272406606,instilake
706.6111111111111,547.7505210838544,instilake
723.0292608625941,543.6459836459837,instilake
741.4996793330126,547.7505210838544,instilake
759.9700978034311,551.8550585217251,instilake
774.3359788359787,543.6459836459837,instilake
776.3882475549142,566.220939554273,instilake
764.0746352413018,568.2732082732082,instilake
743.5519480519479,578.5345518678853,instilake
727.1337983004648,590.8481641814976,instilake
743.5519480519479,617.5276575276575,instilake
759.9700978034311,642.1548821548822,instilake
774.3359788359787,668.8343755010421,instilake
784.5973224306556,683.2002565335899,instilake
798.9632034632034,707.8274811608144,instilake
815.3813532146864,738.6115119448452,instilake
833.851771685105,773.5000801667468,instilake
842.0608465608466,798.1273047939715,instilake
848.2176527176525,806.3363796697131,instilake
850.269921436588,791.9704986371653,instilake
842.0608465608466,765.2910052910054,instilake
831.7995029661695,732.4547057880391,instilake
827.6949655282988,711.9320185986853,instilake
840.0085778419111,707.8274811608144,instilake
844.1131152797818,730.4024370691038,instilake
844.1131152797818,744.7683181016514,instilake
854.3744588744587,769.3955427288761,instilake
860.5312650312649,794.0227673561008,instilake
864.6358024691358,822.7545294211961,instilake
864.6358024691358,839.1726791726792,instilake
848.2176527176525,841.2249478916144,instilake
846.1653839987173,824.8067981401314,instilake
833.851771685105,804.2841109507776,instilake
821.5381593714926,777.6046176046175,instilake
809.2245470578803,752.977392977393,instilake
792.8063973063972,724.2456309122977,instilake
782.5450537117204,699.618406285073,instilake
768.1791726791726,679.095719095719,instilake
759.9700978034311,674.9911816578483,instilake
751.7610229276895,664.7298380631714,instilake
749.708754208754,652.4162257495591,instilake
723.0292608625941,627.7890011223344,instilake
706.6111111111111,609.3185826519159,instilake
706.6111111111111,601.1095077761745,instilake
675.8270803270802,590.8481641814976,instilake
653.252124418791,584.6913580246915,instilake
636.833974667308,586.7436267436267,instilake
